site,url,field,key,value
https://reactome.org/,https://reactome.org/,meta,title,Home - Reactome Pathway Database
https://reactome.org/,https://reactome.org/,meta,description,"Reactome is pathway database which provides intuitive bioinformatics tools for the visualisation, interpretation and analysis of pathway knowledge."
https://reactome.org/,https://reactome.org/,meta,keywords,"pathway,reactions,graph,bioinformatics"
https://reactome.org/,https://reactome.org/,meta,h1,
https://reactome.org/,https://reactome.org/,meta,lang,en-gb
https://reactome.org/,https://reactome.org/,links,0.text,
https://reactome.org/,https://reactome.org/,links,0.url,https://reactome.org/
https://reactome.org/,https://reactome.org/,links,0.internal,True
https://reactome.org/,https://reactome.org/,links,1.text,What is Reactome ?
https://reactome.org/,https://reactome.org/,links,1.url,https://reactome.org/what-is-reactome
https://reactome.org/,https://reactome.org/,links,1.internal,True
https://reactome.org/,https://reactome.org/,links,2.text,News
https://reactome.org/,https://reactome.org/,links,2.url,https://reactome.org/about/news
https://reactome.org/,https://reactome.org/,links,2.internal,True
https://reactome.org/,https://reactome.org/,links,3.text,Team
https://reactome.org/,https://reactome.org/,links,3.url,https://reactome.org/about/team
https://reactome.org/,https://reactome.org/,links,3.internal,True
https://reactome.org/,https://reactome.org/,links,4.text,Scientific Advisory Board
https://reactome.org/,https://reactome.org/,links,4.url,https://reactome.org/sab
https://reactome.org/,https://reactome.org/,links,4.internal,True
https://reactome.org/,https://reactome.org/,links,5.text,Funding
https://reactome.org/,https://reactome.org/,links,5.url,https://reactome.org/about/funding
https://reactome.org/,https://reactome.org/,links,5.internal,True
https://reactome.org/,https://reactome.org/,links,6.text,Editorial Calendar
https://reactome.org/,https://reactome.org/,links,6.url,https://reactome.org/about/editorial-calendar
https://reactome.org/,https://reactome.org/,links,6.internal,True
https://reactome.org/,https://reactome.org/,links,7.text,Release Calendar
https://reactome.org/,https://reactome.org/,links,7.url,https://reactome.org/about/release-calendar
https://reactome.org/,https://reactome.org/,links,7.internal,True
https://reactome.org/,https://reactome.org/,links,8.text,Statistics
https://reactome.org/,https://reactome.org/,links,8.url,https://reactome.org/about/statistics
https://reactome.org/,https://reactome.org/,links,8.internal,True
https://reactome.org/,https://reactome.org/,links,9.text,Our Logo
https://reactome.org/,https://reactome.org/,links,9.url,https://reactome.org/about/logo
https://reactome.org/,https://reactome.org/,links,9.internal,True
https://reactome.org/,https://reactome.org/,links,10.text,License Agreement
https://reactome.org/,https://reactome.org/,links,10.url,https://reactome.org/license
https://reactome.org/,https://reactome.org/,links,10.internal,True
https://reactome.org/,https://reactome.org/,links,11.text,Privacy Notice
https://reactome.org/,https://reactome.org/,links,11.url,https://reactome.org/about/privacy-notice
https://reactome.org/,https://reactome.org/,links,11.internal,True
https://reactome.org/,https://reactome.org/,links,12.text,Disclaimer
https://reactome.org/,https://reactome.org/,links,12.url,https://reactome.org/about/disclaimer
https://reactome.org/,https://reactome.org/,links,12.internal,True
https://reactome.org/,https://reactome.org/,links,13.text,Digital Preservation
https://reactome.org/,https://reactome.org/,links,13.url,https://reactome.org/about/digital-preservation
https://reactome.org/,https://reactome.org/,links,13.internal,True
https://reactome.org/,https://reactome.org/,links,14.text,Contact us
https://reactome.org/,https://reactome.org/,links,14.url,https://reactome.org/about/contact-us
https://reactome.org/,https://reactome.org/,links,14.internal,True
https://reactome.org/,https://reactome.org/,links,15.text,Table of Contents
https://reactome.org/,https://reactome.org/,links,15.url,https://reactome.org/content/toc
https://reactome.org/,https://reactome.org/,links,15.internal,True
https://reactome.org/,https://reactome.org/,links,16.text,DOIs
https://reactome.org/,https://reactome.org/,links,16.url,https://reactome.org/content/doi
https://reactome.org/,https://reactome.org/,links,16.internal,True
https://reactome.org/,https://reactome.org/,links,17.text,Data Schema
https://reactome.org/,https://reactome.org/,links,17.url,https://reactome.org/content/schema
https://reactome.org/,https://reactome.org/,links,17.internal,True
https://reactome.org/,https://reactome.org/,links,18.text,Reactome Research Spotlight
https://reactome.org/,https://reactome.org/,links,18.url,https://reactome.org/content/reactome-research-spotlight
https://reactome.org/,https://reactome.org/,links,18.internal,True
https://reactome.org/,https://reactome.org/,links,19.text,ORCID Integration Project
https://reactome.org/,https://reactome.org/,links,19.url,https://reactome.org/orcid
https://reactome.org/,https://reactome.org/,links,19.internal,True
https://reactome.org/,https://reactome.org/,links,20.text,COVID-19 Disease Pathways
https://reactome.org/,https://reactome.org/,links,20.url,https://reactome.org/covid-19
https://reactome.org/,https://reactome.org/,links,20.internal,True
https://reactome.org/,https://reactome.org/,links,21.text,Docs
https://reactome.org/,https://reactome.org/,links,21.url,https://reactome.org/documentation
https://reactome.org/,https://reactome.org/,links,21.internal,True
https://reactome.org/,https://reactome.org/,links,22.text,Userguide
https://reactome.org/,https://reactome.org/,links,22.url,https://reactome.org/userguide
https://reactome.org/,https://reactome.org/,links,22.internal,True
https://reactome.org/,https://reactome.org/,links,23.text,Pathway Browser
https://reactome.org/,https://reactome.org/,links,23.url,https://reactome.org/userguide/pathway-browser
https://reactome.org/,https://reactome.org/,links,23.internal,True
https://reactome.org/,https://reactome.org/,links,24.text,How do I search ?
https://reactome.org/,https://reactome.org/,links,24.url,https://reactome.org/userguide/searching
https://reactome.org/,https://reactome.org/,links,24.internal,True
https://reactome.org/,https://reactome.org/,links,25.text,Details Panel
https://reactome.org/,https://reactome.org/,links,25.url,https://reactome.org/userguide/details-panel
https://reactome.org/,https://reactome.org/,links,25.internal,True
https://reactome.org/,https://reactome.org/,links,26.text,Analysis Tools
https://reactome.org/,https://reactome.org/,links,26.url,https://reactome.org/userguide/analysis
https://reactome.org/,https://reactome.org/,links,26.internal,True
https://reactome.org/,https://reactome.org/,links,27.text,Analysis Data
https://reactome.org/,https://reactome.org/,links,27.url,https://reactome.org/userguide/analysis#analysis
https://reactome.org/,https://reactome.org/,links,27.internal,True
https://reactome.org/,https://reactome.org/,links,28.text,Analysis Gene Expression
https://reactome.org/,https://reactome.org/,links,28.url,https://reactome.org/userguide/analysis/gsa
https://reactome.org/,https://reactome.org/,links,28.internal,True
https://reactome.org/,https://reactome.org/,links,29.text,Species Comparison
https://reactome.org/,https://reactome.org/,links,29.url,https://reactome.org/userguide/analysis#species
https://reactome.org/,https://reactome.org/,links,29.internal,True
https://reactome.org/,https://reactome.org/,links,30.text,Tissue Distribution
https://reactome.org/,https://reactome.org/,links,30.url,https://reactome.org/userguide/analysis#tissue
https://reactome.org/,https://reactome.org/,links,30.internal,True
https://reactome.org/,https://reactome.org/,links,31.text,Diseases
https://reactome.org/,https://reactome.org/,links,31.url,https://reactome.org/userguide/diseases
https://reactome.org/,https://reactome.org/,links,31.internal,True
https://reactome.org/,https://reactome.org/,links,32.text,Cytomics
https://reactome.org/,https://reactome.org/,links,32.url,https://reactome.org/userguide/cytomics
https://reactome.org/,https://reactome.org/,links,32.internal,True
https://reactome.org/,https://reactome.org/,links,33.text,Review Status of Reactome Events
https://reactome.org/,https://reactome.org/,links,33.url,https://reactome.org/userguide/review-status
https://reactome.org/,https://reactome.org/,links,33.internal,True
https://reactome.org/,https://reactome.org/,links,34.text,ReactomeFIViz
https://reactome.org/,https://reactome.org/,links,34.url,https://reactome.org/userguide/reactome-fiviz
https://reactome.org/,https://reactome.org/,links,34.internal,True
https://reactome.org/,https://reactome.org/,links,35.text,Developer's Zone
https://reactome.org/,https://reactome.org/,links,35.url,https://reactome.org/dev
https://reactome.org/,https://reactome.org/,links,35.internal,True
https://reactome.org/,https://reactome.org/,links,36.text,Graph Database
https://reactome.org/,https://reactome.org/,links,36.url,https://reactome.org/dev/graph-database
https://reactome.org/,https://reactome.org/,links,36.internal,True
https://reactome.org/,https://reactome.org/,links,37.text,Analysis Service
https://reactome.org/,https://reactome.org/,links,37.url,https://reactome.org/dev/analysis
https://reactome.org/,https://reactome.org/,links,37.internal,True
https://reactome.org/,https://reactome.org/,links,38.text,Content Service
https://reactome.org/,https://reactome.org/,links,38.url,https://reactome.org/dev/content-service
https://reactome.org/,https://reactome.org/,links,38.internal,True
https://reactome.org/,https://reactome.org/,links,39.text,Pathways Overview
https://reactome.org/,https://reactome.org/,links,39.url,https://reactome.org/dev/pathways-overview
https://reactome.org/,https://reactome.org/,links,39.internal,True
https://reactome.org/,https://reactome.org/,links,40.text,Pathway Diagrams
https://reactome.org/,https://reactome.org/,links,40.url,https://reactome.org/dev/diagram
https://reactome.org/,https://reactome.org/,links,40.internal,True
https://reactome.org/,https://reactome.org/,links,41.text,Icon Info
https://reactome.org/,https://reactome.org/,links,41.url,https://reactome.org/icon-info
https://reactome.org/,https://reactome.org/,links,41.internal,True
https://reactome.org/,https://reactome.org/,links,42.text,EHLD Specs & Guidelines
https://reactome.org/,https://reactome.org/,links,42.url,https://reactome.org/icon-info/ehld-specs-guideline
https://reactome.org/,https://reactome.org/,links,42.internal,True
https://reactome.org/,https://reactome.org/,links,43.text,Icon Library Guidelines
https://reactome.org/,https://reactome.org/,links,43.url,https://reactome.org/icon-info/icons-guidelines
